"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC"
"165",2015-02-03,"Hannover","Mainz","1","1","D",9,17,5,7,7,4
"166",2015-02-03,"M'gladbach","Freiburg","1","0","H",11,15,6,5,4,4
"167",2015-02-04,"Dortmund","Augsburg","0","1","A",15,8,6,3,4,1
"168",2015-02-04,"FC Koln","Stuttgart","0","0","D",5,7,0,4,2,4
"169",2015-02-04,"Hertha","Leverkusen","0","1","A",2,9,0,3,4,2
"170",2015-02-04,"Hoffenheim","Werder Bremen","1","2","A",13,10,5,6,7,1
"171",2015-02-04,"Paderborn","Hamburg","0","3","A",13,12,3,4,5,5
"172",2015-02-06,"Schalke 04","M'gladbach","1","0","H",10,8,4,1,5,3
"173",2015-02-07,"FC Koln","Paderborn","0","0","D",17,9,5,3,9,4
"174",2015-02-07,"Freiburg","Dortmund","0","3","A",7,22,1,12,3,5
"175",2015-02-07,"Hamburg","Hannover","2","1","H",6,21,3,7,3,10
"176",2015-02-07,"Mainz","Hertha","0","2","A",12,11,4,3,4,2
"177",2015-02-07,"Stuttgart","Bayern Munich","0","2","A",4,8,0,4,4,1
"178",2015-02-07,"Wolfsburg","Hoffenheim","3","0","H",9,16,5,4,2,4
"179",2015-02-08,"Augsburg","Ein Frankfurt","2","2","D",11,16,6,5,3,3
"180",2015-02-08,"Werder Bremen","Leverkusen","2","1","H",7,13,4,2,4,7
"181",2015-02-13,"Dortmund","Mainz","4","2","H",21,6,10,3,7,3
"182",2015-02-14,"Bayern Munich","Hamburg","8","0","H",25,7,14,2,3,0
"183",2015-02-14,"Ein Frankfurt","Schalke 04","1","0","H",8,8,2,6,5,7
"184",2015-02-14,"Hoffenheim","Stuttgart","2","1","H",21,7,6,3,10,2
"185",2015-02-14,"Leverkusen","Wolfsburg","4","5","A",15,13,7,9,5,1
"186",2015-02-14,"M'gladbach","FC Koln","1","0","H",19,14,8,1,10,1
"187",2015-02-14,"Werder Bremen","Augsburg","3","2","H",19,16,9,4,5,10
"188",2015-02-15,"Hannover","Paderborn","1","2","A",10,11,2,5,7,1
"189",2015-02-15,"Hertha","Freiburg","0","2","A",11,8,6,3,2,1
"190",2015-02-20,"Stuttgart","Dortmund","2","3","A",7,13,2,9,2,5
"191",2015-02-21,"Augsburg","Leverkusen","2","2","D",16,18,7,12,5,4
"192",2015-02-21,"FC Koln","Hannover","1","1","D",16,7,7,5,3,5
"193",2015-02-21,"Freiburg","Hoffenheim","1","1","D",10,14,5,5,4,1
"194",2015-02-21,"Mainz","Ein Frankfurt","3","1","H",13,8,6,1,6,1
"195",2015-02-21,"Paderborn","Bayern Munich","0","6","A",13,17,3,9,4,4
"196",2015-02-21,"Schalke 04","Werder Bremen","1","1","D",24,14,5,4,7,1
"197",2015-02-22,"Hamburg","M'gladbach","1","1","D",13,12,3,2,4,5
"198",2015-02-22,"Wolfsburg","Hertha","2","1","H",17,3,5,2,6,3
"199",2015-02-27,"Bayern Munich","FC Koln","4","1","H",23,9,9,4,14,5
